time,tavg,tmin,tmax,prcp
6/12/2019,33.2,28.4,42,0
6/13/2019,28.8,24.2,33,34
6/14/2019,31.9,25.5,37.4,5.1
6/15/2019,30.3,25,34,0
6/16/2019,28.7,23.3,31,6.1
6/17/2019,31.9,25.9,35.6,1
6/18/2019,32.1,28,32.4,0
6/19/2019,32.4,26.4,37,0
6/20/2019,28.2,24.6,31,0
6/21/2019,25.9,22.4,27,23.9
6/22/2019,28.1,23.9,30.4,27.9
6/23/2019,29.4,25.6,33,2
6/24/2019,30.9,26.5,35,0.3
6/25/2019,31.3,26.9,35,0
6/26/2019,31.3,26.6,35.2,0
6/27/2019,31,27.6,36,0
6/28/2019,29.1,23.5,32,29
6/29/2019,29.8,27.8,33,0
6/30/2019,27.8,24.7,32.4,2
7/1/2019,26.1,24.9,27,21.1
7/2/2019,27.1,24.2,29,71.1
7/3/2019,29.1,26.4,32,0.3
7/4/2019,28.2,25.6,31,3
7/5/2019,27.6,25.8,30,7.1
7/6/2019,26.7,24.2,28,23.9
7/7/2019,29.2,25.2,33,0.3
7/8/2019,29.6,27,33.6,0
7/9/2019,28.8,26.3,34.2,8.9
7/10/2019,28,25.6,31,18
7/11/2019,29.6,25.6,33,3
7/12/2019,29.5,26.2,34.4,0
7/13/2019,28.6,25.9,40,18
7/14/2019,30.1,25.2,32.4,16
7/15/2019,30.2,26,35,0
7/16/2019,30.7,26,36,0
7/17/2019,29.9,26.6,36.2,0.5
7/18/2019,29.2,25.4,35,0.3
7/19/2019,29.6,26.7,33,13
7/20/2019,29.9,26.8,33.2,2
7/21/2019,30.7,26.9,35,0.5
7/22/2019,31.1,26.5,35,0
7/23/2019,31.2,27,35.2,0
7/24/2019,30.7,26.5,35.6,0
7/25/2019,26.3,24.8,29,13
7/26/2019,26.3,23.1,28,52.1
7/27/2019,27.4,24,29.4,14
7/28/2019,27.1,26,29.2,0.5
7/29/2019,27.2,24.2,28.4,9.9
7/30/2019,29.2,26.4,32,1
7/31/2019,28.1,25.6,32,0
8/1/2019,27.8,25,30,24.9
8/2/2019,27.7,25.6,30,0
8/3/2019,26.7,25.4,29.8,2
8/4/2019,28.3,24.8,31,11.9
8/5/2019,29.1,25.2,31,0.3
8/6/2019,28,25.1,31,26.9
8/7/2019,26.4,24.8,27,42.9
8/8/2019,27.9,24.5,30,14
8/9/2019,28.9,25,33.6,0
8/10/2019,29.9,24.6,34,6.1
8/11/2019,29.8,26.6,32.8,0
8/12/2019,26.8,25.6,29,1
8/13/2019,28.4,24.8,30,24.9
8/14/2019,29.8,26.8,33.8,0
8/15/2019,29.3,27,32.8,0
8/16/2019,29.3,25.7,34.4,0
8/17/2019,28.5,26.6,31.6,0
8/18/2019,26.6,23.4,29,27.9
8/19/2019,29.2,24.9,33,0.3
8/20/2019,29.4,26.2,33.2,0
8/21/2019,28.4,26,33,0.5
8/22/2019,28.3,25,32.4,0
8/23/2019,27.7,25.8,31,16
8/24/2019,27.8,25.5,32.4,15
8/25/2019,26.6,24.8,32.4,3
8/26/2019,27.4,23.7,32.4,19.1
8/27/2019,28.4,24.6,31,1
8/28/2019,27.7,26,29.6,0
8/29/2019,28.9,25.5,32.4,0.3
8/30/2019,28.5,25.5,31,0.5
8/31/2019,29.2,26.2,32.4,3
9/1/2019,28.5,26,33.4,0.5
9/2/2019,27.9,25.6,32,2
9/3/2019,27.8,24.5,32,49
9/4/2019,27.7,24.8,32,1
9/5/2019,27.8,25.4,31,9.9
9/6/2019,27.4,25.4,29,23.9
9/7/2019,28.2,24.5,30.4,30
9/8/2019,28.2,25.8,32.8,0
9/9/2019,28.8,24.6,31,38.1
9/10/2019,28.9,26.7,32.2,0
9/11/2019,26.8,25,29,8.9
9/12/2019,27.6,24,29,40.9
9/13/2019,27.9,25.6,32.4,0
9/14/2019,29.1,25.5,33,0
9/15/2019,29.2,26.1,33.2,0
9/16/2019,29.3,26.5,34,0
9/17/2019,28.3,25.9,33.2,0
9/18/2019,28.2,25.5,31,0
9/19/2019,28.5,25.4,32.2,0
9/20/2019,28.1,24.9,32,0
9/21/2019,28.4,24.7,32.4,0
9/22/2019,27.9,25.4,33,0
9/23/2019,26.9,25,31.2,9.9
9/24/2019,25.7,25,28,38.1
9/25/2019,25.1,23.2,26,126
9/26/2019,25.8,22.5,32.4,19.1
9/27/2019,26.7,23.5,32.4,1
9/28/2019,25.9,24,29,0
9/29/2019,27.2,23.8,31.2,9.9
9/30/2019,27.6,22.7,32.4,0
10/1/2019,27.9,24.9,32.4,0
10/2/2019,27.3,24,32.4,0
10/3/2019,28.6,22.8,32.4,0
10/4/2019,29.2,24.8,32.4,0
10/5/2019,29.3,23.6,32.4,0
10/6/2019,28.1,23.6,33.4,0
10/7/2019,27.3,23.1,33,0
10/8/2019,26.1,25,30,0
10/9/2019,27.1,23.5,32,0
10/10/2019,27.5,24,31,0
10/11/2019,27,23.7,33,11.9
10/12/2019,27.2,22.4,32,21.1
10/13/2019,27.9,22.8,32,5.1
10/14/2019,26.9,22.6,32.4,22.1
10/15/2019,27.4,22.1,32,0
10/16/2019,26.1,22.8,32.4,0
10/17/2019,26.8,23.1,32,0
10/18/2019,27.9,23.1,33.2,0
10/19/2019,28.1,23.4,33,0
10/20/2019,28.1,24,32.8,0
10/21/2019,28.2,23.4,33,0
10/22/2019,28.4,23.2,33.6,0
10/23/2019,24.7,24,27,0.5
10/24/2019,24.2,22.4,25.5,0
10/25/2019,25.5,22.6,28,144
10/26/2019,25.9,21.2,29,5.1
10/27/2019,27.1,22.8,30,0
10/28/2019,26.7,22.9,30,0
10/29/2019,26.9,22,31.2,0
10/30/2019,27.3,22.2,31.2,0
10/31/2019,27.7,23,32,0
11/1/2019,27.4,23.4,32,0
11/2/2019,26.6,22.8,31,0
11/3/2019,25.9,21.4,31,0
11/4/2019,26.3,21,32.4,0
11/5/2019,26.1,20.8,31,0
11/6/2019,25.7,22.4,29.4,0
11/7/2019,25.1,20.8,30,0
11/8/2019,23.8,19.5,25,0
11/9/2019,24.6,20.8,26,4.1
11/10/2019,26.2,20.6,30.2,0
11/11/2019,25.8,22.8,31.4,0
11/12/2019,25.1,19.6,30.4,0
11/13/2019,24.2,18.8,30,0
11/14/2019,23.4,17.2,29.6,0
11/15/2019,24.3,17.6,30,0
11/16/2019,25.3,19.5,30.8,0
11/17/2019,25.2,20.2,31,0
11/18/2019,24.7,20,30.4,0
11/19/2019,23.5,19.8,29.8,0
11/20/2019,23.9,16.9,29.6,0
11/21/2019,23.8,17.8,30.2,0
11/22/2019,23.3,18,29,0
11/23/2019,23.8,17.9,30,0
11/24/2019,23.6,18.5,29,0
